"Reporting Starts","Reporting Ends","Ad Name","Ad Delivery",Bid,"Bid Type","Ad Set Budget","Ad Set Budget Type","Amount Spent (USD)",Ends,"Website Purchases","Website Purchase ROAS (Return on Ad Spend)",Starts,"Campaign ID","Ad Set ID","Ad ID",Reach,Frequency,Impressions,"Ad Set Delivery","Clicks (All)","CPC (All) (USD)","CTR (All)","CPM (Cost per 1,000 Impressions) (USD)","Cost per 1,000 People Reached (USD)",ThruPlays,"Video Plays at 25%","Video Plays at 50%","Video Plays at 75%","Video Average Play Time","Video Plays","CTR (Link Click-Through Rate)","Unique CTR (Link Click-Through Rate)","Unique CTR (All)","CPC (Cost per Link Click) (USD)","Cost per Unique Link Click (USD)","Campaign Name","Ad Set Name"
2015-06-15,2021-03-08,"8.1 Retinol Static_Desktop_Brand Purchasers_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,25,Daily,219.05,2016-08-10,7,2.26318192,2016-08-01,6050530395942,6050530409542,6050530414542,4101,1.7610338941722,7222,not_delivering,42,5.21547619,0.58155636,30.33093326,53.41380151,,,,,00:00:00,,0.37385765715868,0.63399170933919,0.99975616,8.11296296,8.425,"DR_Desktop_Product - Retinol","8.1 Retinol Static_Desktop_Brand Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.1 Retinol Static_Desktop_Product Purchasers_oCPM Action",not_delivering,999,ABSOLUTE_OCPM,25,Daily,50.54,2016-08-10,,,2016-08-01,6050530395942,6050530408342,6050530417142,523,2.4933078393881,1304,not_delivering,6,8.42333333,0.4601227,38.75766871,96.63479924,,,,,00:00:00,,0.30674846625767,0.76481835564054,1.14722753,12.635,12.635,"DR_Desktop_Product - Retinol","8.1 Retinol Static_Desktop_Product Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.1 Retinol Static_Desktop_Product Purchasers Lookalike 1%_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,25,Daily,223.36,2016-08-10,9,2.4825394,2016-08-01,6050530395942,6050530402742,6050530452542,7624,1.2005508919203,9153,not_delivering,46,4.85565217,0.50256746,24.402928,29.29695698,,,,,00:00:00,,0.27313449142358,0.32791185729276,0.59024134,8.9344,8.9344,"DR_Desktop_Product - Retinol","8.1 Retinol Static_Desktop_Product Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"8.1 Retinol Static_Desktop_Brand Purchasers Lookalike 1%_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,25,Daily,223.36,2016-08-10,1,1.01181948,2016-08-01,6050530395942,6050530407142,6050530455742,8202,1.2556693489393,10299,not_delivering,63,3.54539683,0.61170987,21.68754248,27.23238235,,,,,00:00:00,,0.31070977764832,0.35357229943916,0.7071446,6.98,7.70206897,"DR_Desktop_Product - Retinol","8.1 Retinol Static_Desktop_Brand Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"8.3 LA Store Standard Ad_Desktop_LA Store Lookalike 1%",not_delivering,800,ABSOLUTE_OCPM,25,Daily,426.41,2016-09-08,1,0.20637415,2016-08-03,6050589950342,6050589951142,6050590362142,8132,1.5525086079685,12625,not_delivering,62,6.87758065,0.49108911,33.7750495,52.43605509,,,,,00:00:00,,0.38811881188119,0.59026069847516,0.68863748,8.7022449,8.88354167,"Desktop_LA Store Campaign","8.3 LA Store Standard Ad_Desktop_LA Store Lookalike 1%"
2015-06-15,2021-03-08,"8.3 LA Store Standard Ad_Mobile_LA Store Lookalike 1%",not_delivering,750,ABSOLUTE_OCPM,25,Daily,421.95,2016-09-08,,,2016-08-03,6050590056742,6050590066942,6050590511742,14060,2.2675675675676,31882,not_delivering,174,2.425,0.5457625,13.23474061,30.01066856,,,,,00:00:00,,0.23837902264601,0.49075391180654,1.10241821,5.55197368,6.11521739,"Mobile_LA Store Campaign","8.3 LA Store Standard Ad_Mobile_LA Store Lookalike 1%"
2015-06-15,2021-03-08,"8.11 Retinol Anti-Aging Carousel_Desktop_Brand Purchasers_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,40,Daily,217.99,2016-08-17,6,1.86531492,2016-08-11,6050530395942,6051428462542,6051428462942,2941,1.5559333560014,4576,not_delivering,10,21.799,0.21853147,47.63767483,74.12104726,,,,,00:00:00,,0.17482517482517,0.23801428085685,0.30601836,27.24875,31.14142857,"DR_Desktop_Product - Retinol","8.11 Retinol Anti-Aging Carousel_Desktop_Brand Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.11 Retinol Anti-Aging Carousel_Desktop_Brand Purchasers Lookalike 1%_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,30,Daily,209.3,2016-08-17,,,2016-08-11,6050530395942,6051429674342,6051429674542,4705,1.3043570669501,6137,not_delivering,25,8.372,0.40736516,34.10461137,44.48459086,,,,,00:00:00,,0.17924067133779,0.2125398512221,0.48884166,19.02727273,20.93,"DR_Desktop_Product - Retinol","8.11 Retinol Anti-Aging Carousel_Desktop_Brand Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"8.11 Retinol Anti-Aging Carousel_Desktop_Product Purchasers Lookalike 1%_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,30,Daily,209.3,2016-08-17,3,0.94601051,2016-08-11,6050530395942,6051429757942,6051429758142,4949,1.4271570014144,7063,not_delivering,27,7.75185185,0.38227382,29.6333003,42.29137199,,,,,00:00:00,,0.12742460710746,0.1818549201859,0.46474035,23.25555556,23.25555556,"DR_Desktop_Product - Retinol","8.11 Retinol Anti-Aging Carousel_Desktop_Product Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"8.11 Retinol Anti-Aging Carousel_Desktop_Product Purchasers_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,20,Daily,51.36,2016-08-17,,,2016-08-11,6050530395942,6051429798542,6051429798742,387,1.8397932816537,712,not_delivering,0,0,0,72.13483146,132.71317829,,,,,00:00:00,,,0,0,,,"DR_Desktop_Product - Retinol","8.11 Retinol Anti-Aging Carousel_Desktop_Product Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.18 Retinol Static_Desktop_Brand Purchasers_oCPM Action",not_delivering,990,ABSOLUTE_OCPM,40,Daily,250.23,2016-08-25,1,0.15965312,2016-08-18,6050530395942,6051845951142,6051845949742,3459,1.4960971379011,5175,not_delivering,17,14.71941176,0.32850242,48.35362319,72.34171726,,,,,00:00:00,,0.19323671497585,0.28910089621278,0.46256143,25.023,25.023,"DR_Desktop_Product - Retinol","8.18 Retinol Static_Desktop_Brand Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.18 Retinol Static_Desktop_Brand Purchasers Lookalike 1%_oCPM Action",not_delivering,990,ABSOLUTE_OCPM,30,Daily,239,2016-08-25,1,0.16715481,2016-08-18,6050530395942,6051845950142,6051845949942,5852,1.3634654818865,7979,not_delivering,36,6.63888889,0.45118436,29.95362827,40.84073821,,,,,00:00:00,,0.2005263817521,0.27341079972659,0.6151743,14.9375,14.9375,"DR_Desktop_Product - Retinol","8.18 Retinol Static_Desktop_Brand Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"8.18 Retinol Static_Desktop_Product Purchasers Lookalike 1%_oCPM Action",not_delivering,990,ABSOLUTE_OCPM,30,Daily,239.13,2016-08-25,1,0.70254673,2016-08-18,6050530395942,6051845950742,6051845950542,5197,1.292668847412,6718,not_delivering,25,9.5652,0.37213456,35.5954153,46.01308447,,,,,00:00:00,,0.19350997320631,0.23090244371753,0.44256302,18.39461538,19.9275,"DR_Desktop_Product - Retinol","8.18 Retinol Static_Desktop_Product Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"8.18 Retinol Static_Desktop_Product Purchasers_oCPM Action",not_delivering,999,ABSOLUTE_OCPM,20,Daily,29.18,2016-08-25,,,2016-08-18,6050530395942,6051845950342,6051845950942,352,1.6846590909091,593,not_delivering,0,0,0,49.2074199,82.89772727,,,,,00:00:00,,,0,0,,,"DR_Desktop_Product - Retinol","8.18 Retinol Static_Desktop_Product Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.26 Retinol Video_Desktop/RHS_Brand Purchasers_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,50,Daily,164.42,2016-08-31,2,1.45785184,2016-08-26,6050530395942,6052349989742,6052349990742,2519,3.1826121476776,8017,not_delivering,12,13.70166667,0.14968193,20.50891855,65.27193331,,387,180,116,00:00:02,,0.049893975302482,0.15879317189361,0.39698293,41.105,41.105,"DR_Desktop_Product - Retinol","8.26 Retinol Video_Desktop/RHS_Brand Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.26 Retinol Video_Desktop/RHS_Product Purchasers_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,30,Daily,35.47,2016-08-31,1,2.25542712,2016-08-26,6050530395942,6052350293142,6052350293342,402,6.8980099502488,2773,not_delivering,2,17.735,0.07212405,12.79120087,88.23383085,,71,27,22,00:00:01,,,0,0.49751244,,,"DR_Desktop_Product - Retinol","8.26 Retinol Video_Desktop/RHS_Product Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.26 Retinol Video_Desktop/RHS_Product Purchasers Lookalike 1%_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,50,Daily,274.55,2016-08-31,5,0.88508468,2016-08-26,6050530395942,6052350868742,6052350868542,7658,2.5344737529381,19409,not_delivering,55,4.99181818,0.28337369,14.14549951,35.85139723,,1010,453,285,00:00:02,,0.051522489566696,0.13058239749282,0.60067903,27.455,27.455,"DR_Desktop_Product - Retinol","8.26 Retinol Video_Desktop/RHS_Product Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"8.26 Retinol Video_Desktop/RHS_Brand Purchasers Lookalike 1%_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,50,Daily,298.92,2016-08-31,2,0.2672956,2016-08-26,6050530395942,6052350899942,6052350899742,7734,1.8258339798293,14121,not_delivering,57,5.24421053,0.40365413,21.16847249,38.65011637,,1166,560,347,00:00:02,,0.10622477161674,0.18101887768296,0.68528575,19.928,21.35142857,"DR_Desktop_Product - Retinol","8.26 Retinol Video_Desktop/RHS_Brand Purchasers Lookalike 1%_oCPM Action"
